generations:200,popsPerGen:10000,childrenPercentage:50,mutationRate:2.000000,strategyLength:15,SimulationsRun:6
gen_num,avg_fit,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
20,0.306551,0.077900,0.556300,0.600900,0.632300,0.613800,0.624200,0.585400,0.644900,0.615000,0.668600,0.685400,0.711700,0.715900,0.783400,0.988300
30,0.311094,0.057800,0.566200,0.646600,0.667200,0.614500,0.653600,0.585700,0.654000,0.591600,0.653900,0.717700,0.711900,0.723000,0.806200,0.989000
40,0.314188,0.054000,0.614100,0.677900,0.723900,0.601900,0.682900,0.562500,0.705100,0.571600,0.651200,0.708400,0.728200,0.700200,0.839500,0.990200
50,0.315238,0.045600,0.584000,0.721100,0.745100,0.604900,0.675400,0.564000,0.724400,0.581000,0.691100,0.707400,0.749700,0.666200,0.831900,0.989800
60,0.312567,0.042100,0.593000,0.750300,0.764100,0.571100,0.685300,0.575600,0.728200,0.573500,0.690100,0.695200,0.753500,0.662200,0.835300,0.990500
70,0.312309,0.040500,0.637400,0.766200,0.760000,0.582300,0.698200,0.518200,0.739500,0.576600,0.703100,0.650100,0.743200,0.661800,0.845800,0.989500
80,0.309303,0.048100,0.649600,0.780100,0.768000,0.556500,0.751500,0.485100,0.731800,0.575500,0.694900,0.643100,0.754900,0.622700,0.864900,0.987400
90,0.315354,0.051300,0.660000,0.800900,0.778500,0.564900,0.752200,0.486100,0.744400,0.548000,0.696500,0.655200,0.773400,0.619700,0.861100,0.991700
100,0.314335,0.043900,0.673100,0.806700,0.785900,0.570900,0.760300,0.456200,0.763000,0.539200,0.704900,0.626700,0.786400,0.624500,0.868300,0.989000
110,0.312789,0.041600,0.688300,0.814200,0.790400,0.562700,0.758300,0.432600,0.814200,0.557900,0.709500,0.615700,0.795000,0.596400,0.877800,0.991500
120,0.313579,0.042300,0.701300,0.824100,0.774000,0.585300,0.756100,0.408100,0.830700,0.495100,0.746000,0.607200,0.809000,0.566000,0.883700,0.987200
130,0.313699,0.043300,0.709500,0.829800,0.787400,0.575300,0.731400,0.404100,0.861400,0.474500,0.762900,0.586300,0.802400,0.568700,0.898100,0.990600
140,0.313368,0.039400,0.728500,0.846200,0.804000,0.530500,0.768200,0.387600,0.850600,0.482200,0.774700,0.570500,0.810700,0.577000,0.902500,0.986800
150,0.308433,0.043100,0.742800,0.842100,0.802400,0.515100,0.797000,0.400700,0.841000,0.502500,0.741400,0.574500,0.824500,0.542400,0.888200,0.991100
160,0.312179,0.037600,0.739900,0.851200,0.810200,0.527600,0.828100,0.373500,0.853500,0.476200,0.758100,0.567900,0.824100,0.513100,0.899300,0.989000
170,0.314008,0.049000,0.735400,0.843500,0.826400,0.526200,0.803400,0.372600,0.842100,0.476900,0.783500,0.534600,0.837300,0.470200,0.920100,0.988200
180,0.313739,0.048100,0.738500,0.861300,0.808400,0.537900,0.807000,0.386600,0.849000,0.498500,0.794400,0.520600,0.851300,0.465300,0.935300,0.988500
190,0.314330,0.045700,0.730300,0.850000,0.816800,0.547700,0.818800,0.365900,0.819300,0.521500,0.805200,0.497500,0.845700,0.465300,0.923300,0.988100
Comparison: Pure SHC,0.098587

4
0,0.125068,0.502800,0.500100,0.503700,0.499000,0.496600,0.504300,0.506400,0.509000,0.504300,0.495300,0.494900,0.501500,0.496900,0.507000,0.494700
10,0.274361,0.375500,0.421700,0.434800,0.465000,0.469600,0.534300,0.565600,0.589400,0.610100,0.604200,0.641000,0.720400,0.749400,0.746400,0.988700
20,0.283453,0.209400,0.304000,0.382000,0.463600,0.462900,0.539200,0.567300,0.609800,0.622500,0.667200,0.640200,0.773400,0.755100,0.744700,0.988800
30,0.282699,0.118100,0.252100,0.396400,0.470700,0.492000,0.566300,0.555700,0.659600,0.627400,0.663200,0.640100,0.776000,0.747800,0.787700,0.987900
40,0.289855,0.077500,0.205600,0.390200,0.486400,0.490700,0.591800,0.549600,0.656700,0.626200,0.714800,0.650000,0.789000,0.749300,0.802000,0.989700
50,0.287374,0.059300,0.154000,0.416000,0.508200,0.476500,0.628100,0.574300,0.667000,0.618900,0.698000,0.650500,0.773300,0.748900,0.795800,0.987900
60,0.290097,0.055900,0.118800,0.456900,0.542600,0.499700,0.615700,0.574900,0.701000,0.582900,0.698000,0.664400,0.784200,0.740600,0.802600,0.990800
70,0.289616,0.051500,0.115400,0.437100,0.557700,0.523800,0.638000,0.575700,0.687200,0.556100,0.706200,0.672600,0.771000,0.725600,0.832900,0.989500
80,0.290309,0.048600,0.109800,0.438800,0.544700,0.531300,0.669500,0.573100,0.710600,0.548300,0.713300,0.692000,0.767100,0.701600,0.839200,0.990000
90,0.289673,0.054400,0.105700,0.468200,0.537800,0.507200,0.681300,0.545500,0.744700,0.559400,0.695500,0.721400,0.741200,0.705500,0.863500,0.988100
100,0.288682,0.051000,0.107500,0.487500,0.542100,0.510900,0.638900,0.519700,0.749600,0.553000,0.683800,0.689800,0.733000,0.699500,0.890400,0.990400
